Starting imports...
Importing argparse...
Importing torch...
Importing os...
Importing sngp.train and sngp.model...
Importing gaussian_process...
Importing dataset...
Importing json...
ALL IMPORTS COMPLETE!
Parsing arguments...
Arguments parsed! Running GP on Sin with N=1500
Checking CUDA availability...
Using CPU
Making Datasets...
Making Model...
Training Gaussian Process...
Iter   0 | Loss: -815.154 | lengthscale: 1.010 | outputscale: 1.010 | noise: 0.198
Iter 280 | Loss: -1293.610 | lengthscale: 1.162 | outputscale: 1.640 | noise: 0.100
Iter 290 | Loss: -1293.606 | lengthscale: 1.160 | outputscale: 1.646 | noise: 0.100
Iter 300 | Loss: -1293.630 | lengthscale: 1.162 | outputscale: 1.649 | noise: 0.100
Iter 310 | Loss: -1293.553 | lengthscale: 1.165 | outputscale: 1.650 | noise: 0.100
Iter 320 | Loss: -1293.600 | lengthscale: 1.160 | outputscale: 1.649 | noise: 0.100
Iter 330 | Loss: -1293.599 | lengthscale: 1.163 | outputscale: 1.647 | noise: 0.100
Iter 340 | Loss: -1293.624 | lengthscale: 1.164 | outputscale: 1.653 | noise: 0.100
Iter 350 | Loss: -1293.602 | lengthscale: 1.162 | outputscale: 1.658 | noise: 0.100
Iter 360 | Loss: -1293.588 | lengthscale: 1.163 | outputscale: 1.648 | noise: 0.100
Iter 370 | Loss: -1293.575 | lengthscale: 1.160 | outputscale: 1.639 | noise: 0.100
Iter 380 | Loss: -1293.562 | lengthscale: 1.161 | outputscale: 1.641 | noise: 0.100
Iter 390 | Loss: -1293.535 | lengthscale: 1.161 | outputscale: 1.648 | noise: 0.100
Iter 400 | Loss: -1293.523 | lengthscale: 1.163 | outputscale: 1.650 | noise: 0.100
Iter 410 | Loss: -1293.596 | lengthscale: 1.161 | outputscale: 1.648 | noise: 0.100
Iter 420 | Loss: -1293.552 | lengthscale: 1.160 | outputscale: 1.646 | noise: 0.100
Iter 430 | Loss: -1293.575 | lengthscale: 1.157 | outputscale: 1.628 | noise: 0.100
Iter 440 | Loss: -1293.559 | lengthscale: 1.156 | outputscale: 1.622 | noise: 0.100
Iter 450 | Loss: -1293.565 | lengthscale: 1.160 | outputscale: 1.635 | noise: 0.100
Iter 460 | Loss: -1293.543 | lengthscale: 1.163 | outputscale: 1.657 | noise: 0.100
Iter 470 | Loss: -1293.528 | lengthscale: 1.167 | outputscale: 1.669 | noise: 0.100
Iter 480 | Loss: -1293.610 | lengthscale: 1.165 | outputscale: 1.670 | noise: 0.100
Iter 490 | Loss: -1293.589 | lengthscale: 1.163 | outputscale: 1.654 | noise: 0.100
Iter 500 | Loss: -1293.555 | lengthscale: 1.162 | outputscale: 1.640 | noise: 0.100
Iter 510 | Loss: -1293.535 | lengthscale: 1.160 | outputscale: 1.642 | noise: 0.100
Iter 520 | Loss: -1293.598 | lengthscale: 1.164 | outputscale: 1.660 | noise: 0.100
Iter 530 | Loss: -1293.641 | lengthscale: 1.167 | outputscale: 1.665 | noise: 0.100
Iter 540 | Loss: -1293.549 | lengthscale: 1.161 | outputscale: 1.646 | noise: 0.100
Iter 550 | Loss: -1293.607 | lengthscale: 1.159 | outputscale: 1.629 | noise: 0.100
Iter 560 | Loss: -1293.553 | lengthscale: 1.156 | outputscale: 1.627 | noise: 0.100
Iter 570 | Loss: -1293.564 | lengthscale: 1.160 | outputscale: 1.635 | noise: 0.100
Iter 580 | Loss: -1293.533 | lengthscale: 1.158 | outputscale: 1.637 | noise: 0.100
Iter 590 | Loss: -1293.592 | lengthscale: 1.163 | outputscale: 1.651 | noise: 0.100
Iter 600 | Loss: -1293.552 | lengthscale: 1.162 | outputscale: 1.652 | noise: 0.100
Iter 610 | Loss: -1293.640 | lengthscale: 1.165 | outputscale: 1.648 | noise: 0.100
Iter 620 | Loss: -1293.534 | lengthscale: 1.163 | outputscale: 1.659 | noise: 0.100
Iter 630 | Loss: -1293.587 | lengthscale: 1.167 | outputscale: 1.669 | noise: 0.100
Iter 640 | Loss: -1293.567 | lengthscale: 1.169 | outputscale: 1.683 | noise: 0.100
Iter 650 | Loss: -1293.557 | lengthscale: 1.169 | outputscale: 1.688 | noise: 0.100
Iter 660 | Loss: -1293.546 | lengthscale: 1.170 | outputscale: 1.673 | noise: 0.100
Iter 670 | Loss: -1293.548 | lengthscale: 1.164 | outputscale: 1.659 | noise: 0.100
Iter 680 | Loss: -1293.599 | lengthscale: 1.159 | outputscale: 1.636 | noise: 0.100
Iter 690 | Loss: -1293.543 | lengthscale: 1.161 | outputscale: 1.639 | noise: 0.100
Iter 700 | Loss: -1293.536 | lengthscale: 1.158 | outputscale: 1.632 | noise: 0.100
Iter 710 | Loss: -1293.557 | lengthscale: 1.157 | outputscale: 1.622 | noise: 0.100
Iter 720 | Loss: -1293.516 | lengthscale: 1.157 | outputscale: 1.631 | noise: 0.100
Iter 730 | Loss: -1293.589 | lengthscale: 1.165 | outputscale: 1.654 | noise: 0.100
Iter 740 | Loss: -1293.593 | lengthscale: 1.166 | outputscale: 1.660 | noise: 0.100
Iter 750 | Loss: -1293.584 | lengthscale: 1.162 | outputscale: 1.654 | noise: 0.100
Iter 760 | Loss: -1293.608 | lengthscale: 1.162 | outputscale: 1.651 | noise: 0.100
Iter 770 | Loss: -1293.604 | lengthscale: 1.160 | outputscale: 1.641 | noise: 0.100
Iter 780 | Loss: -1293.583 | lengthscale: 1.161 | outputscale: 1.638 | noise: 0.100
Iter 790 | Loss: -1293.543 | lengthscale: 1.157 | outputscale: 1.631 | noise: 0.100
Iter 800 | Loss: -1293.576 | lengthscale: 1.159 | outputscale: 1.633 | noise: 0.100
Iter 810 | Loss: -1293.524 | lengthscale: 1.159 | outputscale: 1.646 | noise: 0.100
Iter 820 | Loss: -1293.536 | lengthscale: 1.163 | outputscale: 1.646 | noise: 0.100
Iter 830 | Loss: -1293.527 | lengthscale: 1.161 | outputscale: 1.647 | noise: 0.100
Iter 840 | Loss: -1293.534 | lengthscale: 1.161 | outputscale: 1.649 | noise: 0.100
Iter 850 | Loss: -1293.599 | lengthscale: 1.161 | outputscale: 1.642 | noise: 0.100
Iter 860 | Loss: -1293.579 | lengthscale: 1.160 | outputscale: 1.641 | noise: 0.100
Iter 870 | Loss: -1293.542 | lengthscale: 1.161 | outputscale: 1.646 | noise: 0.100
Iter 880 | Loss: -1293.537 | lengthscale: 1.166 | outputscale: 1.659 | noise: 0.100
Iter 890 | Loss: -1293.607 | lengthscale: 1.167 | outputscale: 1.665 | noise: 0.100
Iter 900 | Loss: -1293.609 | lengthscale: 1.167 | outputscale: 1.676 | noise: 0.100
Iter 910 | Loss: -1293.624 | lengthscale: 1.168 | outputscale: 1.674 | noise: 0.100
Iter 920 | Loss: -1293.540 | lengthscale: 1.163 | outputscale: 1.664 | noise: 0.100
Iter 930 | Loss: -1293.511 | lengthscale: 1.170 | outputscale: 1.671 | noise: 0.100
Iter 940 | Loss: -1293.646 | lengthscale: 1.167 | outputscale: 1.678 | noise: 0.100
Iter 950 | Loss: -1293.566 | lengthscale: 1.166 | outputscale: 1.662 | noise: 0.100
Iter 960 | Loss: -1293.586 | lengthscale: 1.166 | outputscale: 1.660 | noise: 0.100
Iter 970 | Loss: -1293.559 | lengthscale: 1.163 | outputscale: 1.665 | noise: 0.100
Iter 980 | Loss: -1293.513 | lengthscale: 1.165 | outputscale: 1.655 | noise: 0.100
Iter 990 | Loss: -1293.571 | lengthscale: 1.162 | outputscale: 1.647 | noise: 0.100
Iter 1000 | Loss: -1293.557 | lengthscale: 1.161 | outputscale: 1.655 | noise: 0.100
Iter 1010 | Loss: -1293.625 | lengthscale: 1.162 | outputscale: 1.649 | noise: 0.100
Iter 1020 | Loss: -1293.559 | lengthscale: 1.158 | outputscale: 1.637 | noise: 0.100
Iter 1030 | Loss: -1293.569 | lengthscale: 1.162 | outputscale: 1.645 | noise: 0.100
Iter 1040 | Loss: -1293.533 | lengthscale: 1.165 | outputscale: 1.658 | noise: 0.100
Iter 1050 | Loss: -1293.529 | lengthscale: 1.164 | outputscale: 1.658 | noise: 0.100
Iter 1060 | Loss: -1293.554 | lengthscale: 1.165 | outputscale: 1.657 | noise: 0.100
Iter 1070 | Loss: -1293.547 | lengthscale: 1.167 | outputscale: 1.679 | noise: 0.100
Iter 1080 | Loss: -1293.568 | lengthscale: 1.164 | outputscale: 1.658 | noise: 0.100
Iter 1090 | Loss: -1293.523 | lengthscale: 1.162 | outputscale: 1.654 | noise: 0.100
Iter 1100 | Loss: -1293.567 | lengthscale: 1.157 | outputscale: 1.631 | noise: 0.100
Iter 1110 | Loss: -1293.540 | lengthscale: 1.162 | outputscale: 1.649 | noise: 0.100
Iter 1120 | Loss: -1293.534 | lengthscale: 1.169 | outputscale: 1.682 | noise: 0.100
Iter 1130 | Loss: -1293.635 | lengthscale: 1.166 | outputscale: 1.669 | noise: 0.100
Iter 1140 | Loss: -1293.615 | lengthscale: 1.166 | outputscale: 1.669 | noise: 0.100
Iter 1150 | Loss: -1293.523 | lengthscale: 1.164 | outputscale: 1.661 | noise: 0.100
Iter 1160 | Loss: -1293.588 | lengthscale: 1.165 | outputscale: 1.653 | noise: 0.100
Iter 1170 | Loss: -1293.591 | lengthscale: 1.164 | outputscale: 1.659 | noise: 0.100
Iter 1180 | Loss: -1293.576 | lengthscale: 1.163 | outputscale: 1.646 | noise: 0.100
Iter 1190 | Loss: -1293.562 | lengthscale: 1.162 | outputscale: 1.656 | noise: 0.100
Iter 1200 | Loss: -1293.573 | lengthscale: 1.164 | outputscale: 1.660 | noise: 0.100
Iter 1210 | Loss: -1293.601 | lengthscale: 1.166 | outputscale: 1.658 | noise: 0.100
Iter 1220 | Loss: -1293.582 | lengthscale: 1.164 | outputscale: 1.665 | noise: 0.100
Iter 1230 | Loss: -1293.570 | lengthscale: 1.166 | outputscale: 1.661 | noise: 0.100
Iter 1240 | Loss: -1293.552 | lengthscale: 1.162 | outputscale: 1.649 | noise: 0.100
Iter 1250 | Loss: -1293.566 | lengthscale: 1.164 | outputscale: 1.657 | noise: 0.100
Iter 1260 | Loss: -1293.615 | lengthscale: 1.168 | outputscale: 1.670 | noise: 0.100
Iter 1270 | Loss: -1293.539 | lengthscale: 1.161 | outputscale: 1.656 | noise: 0.100
Iter 1280 | Loss: -1293.602 | lengthscale: 1.160 | outputscale: 1.638 | noise: 0.100
Iter 1290 | Loss: -1293.556 | lengthscale: 1.155 | outputscale: 1.623 | noise: 0.100
Iter 1300 | Loss: -1293.593 | lengthscale: 1.163 | outputscale: 1.648 | noise: 0.100
Iter 1310 | Loss: -1293.570 | lengthscale: 1.171 | outputscale: 1.685 | noise: 0.100
Iter 1320 | Loss: -1293.564 | lengthscale: 1.161 | outputscale: 1.658 | noise: 0.100
Iter 1330 | Loss: -1293.557 | lengthscale: 1.161 | outputscale: 1.641 | noise: 0.100
Iter 1340 | Loss: -1293.540 | lengthscale: 1.162 | outputscale: 1.646 | noise: 0.100
Iter 1350 | Loss: -1293.574 | lengthscale: 1.161 | outputscale: 1.644 | noise: 0.100
Iter 1360 | Loss: -1293.668 | lengthscale: 1.163 | outputscale: 1.653 | noise: 0.100
Iter 1370 | Loss: -1293.594 | lengthscale: 1.164 | outputscale: 1.654 | noise: 0.100
Iter 1380 | Loss: -1293.611 | lengthscale: 1.161 | outputscale: 1.641 | noise: 0.100
Iter 1390 | Loss: -1293.602 | lengthscale: 1.161 | outputscale: 1.646 | noise: 0.100
Iter 1400 | Loss: -1293.556 | lengthscale: 1.165 | outputscale: 1.664 | noise: 0.100
Iter 1410 | Loss: -1293.523 | lengthscale: 1.172 | outputscale: 1.689 | noise: 0.100
Iter 1420 | Loss: -1293.627 | lengthscale: 1.166 | outputscale: 1.669 | noise: 0.100
Iter 1430 | Loss: -1293.587 | lengthscale: 1.161 | outputscale: 1.646 | noise: 0.100
Iter 1440 | Loss: -1293.563 | lengthscale: 1.160 | outputscale: 1.643 | noise: 0.100
Iter 1450 | Loss: -1293.603 | lengthscale: 1.162 | outputscale: 1.645 | noise: 0.100
Iter 1460 | Loss: -1293.557 | lengthscale: 1.165 | outputscale: 1.655 | noise: 0.100
Iter 1470 | Loss: -1293.524 | lengthscale: 1.163 | outputscale: 1.665 | noise: 0.100
Iter 1480 | Loss: -1293.546 | lengthscale: 1.168 | outputscale: 1.673 | noise: 0.100
Iter 1490 | Loss: -1293.578 | lengthscale: 1.169 | outputscale: 1.673 | noise: 0.100
Iter 1500 | Loss: -1293.526 | lengthscale: 1.163 | outputscale: 1.663 | noise: 0.100
Iter 1510 | Loss: -1293.589 | lengthscale: 1.164 | outputscale: 1.661 | noise: 0.100
Iter 1520 | Loss: -1293.623 | lengthscale: 1.165 | outputscale: 1.661 | noise: 0.100
Iter 1530 | Loss: -1293.559 | lengthscale: 1.160 | outputscale: 1.635 | noise: 0.100
Iter 1540 | Loss: -1293.518 | lengthscale: 1.157 | outputscale: 1.630 | noise: 0.100
Iter 1550 | Loss: -1293.560 | lengthscale: 1.162 | outputscale: 1.643 | noise: 0.100
Iter 1560 | Loss: -1293.564 | lengthscale: 1.162 | outputscale: 1.657 | noise: 0.100
Iter 1570 | Loss: -1293.576 | lengthscale: 1.161 | outputscale: 1.638 | noise: 0.100
Iter 1580 | Loss: -1293.586 | lengthscale: 1.165 | outputscale: 1.665 | noise: 0.100
Iter 1590 | Loss: -1293.584 | lengthscale: 1.169 | outputscale: 1.680 | noise: 0.100
Iter 1600 | Loss: -1293.559 | lengthscale: 1.167 | outputscale: 1.677 | noise: 0.100
Iter 1610 | Loss: -1293.584 | lengthscale: 1.166 | outputscale: 1.664 | noise: 0.100
Iter 1620 | Loss: -1293.554 | lengthscale: 1.160 | outputscale: 1.633 | noise: 0.100
Iter 1630 | Loss: -1293.497 | lengthscale: 1.151 | outputscale: 1.613 | noise: 0.100
Iter 1640 | Loss: -1293.554 | lengthscale: 1.164 | outputscale: 1.649 | noise: 0.100
Iter 1650 | Loss: -1293.656 | lengthscale: 1.171 | outputscale: 1.695 | noise: 0.100
Iter 1660 | Loss: -1293.615 | lengthscale: 1.165 | outputscale: 1.669 | noise: 0.100
Iter 1670 | Loss: -1293.599 | lengthscale: 1.163 | outputscale: 1.646 | noise: 0.100
Iter 1680 | Loss: -1293.569 | lengthscale: 1.154 | outputscale: 1.626 | noise: 0.100
Iter 1690 | Loss: -1293.507 | lengthscale: 1.163 | outputscale: 1.650 | noise: 0.100
Iter 1700 | Loss: -1293.637 | lengthscale: 1.169 | outputscale: 1.681 | noise: 0.100
Iter 1710 | Loss: -1293.516 | lengthscale: 1.171 | outputscale: 1.690 | noise: 0.100
Iter 1720 | Loss: -1293.587 | lengthscale: 1.164 | outputscale: 1.651 | noise: 0.100
Iter 1730 | Loss: -1293.636 | lengthscale: 1.154 | outputscale: 1.618 | noise: 0.100
Iter 1740 | Loss: -1293.620 | lengthscale: 1.158 | outputscale: 1.633 | noise: 0.100
Iter 1750 | Loss: -1293.617 | lengthscale: 1.162 | outputscale: 1.650 | noise: 0.100
Iter 1760 | Loss: -1293.539 | lengthscale: 1.164 | outputscale: 1.659 | noise: 0.100
Iter 1770 | Loss: -1293.554 | lengthscale: 1.167 | outputscale: 1.671 | noise: 0.100
Iter 1780 | Loss: -1293.543 | lengthscale: 1.165 | outputscale: 1.658 | noise: 0.100
Iter 1790 | Loss: -1293.558 | lengthscale: 1.159 | outputscale: 1.639 | noise: 0.100
Iter 1800 | Loss: -1293.608 | lengthscale: 1.154 | outputscale: 1.616 | noise: 0.100
Iter 1810 | Loss: -1293.511 | lengthscale: 1.158 | outputscale: 1.630 | noise: 0.100
Iter 1820 | Loss: -1293.556 | lengthscale: 1.164 | outputscale: 1.654 | noise: 0.100
Iter 1830 | Loss: -1293.612 | lengthscale: 1.164 | outputscale: 1.658 | noise: 0.100
Iter 1840 | Loss: -1293.516 | lengthscale: 1.159 | outputscale: 1.637 | noise: 0.100
Iter 1850 | Loss: -1293.535 | lengthscale: 1.157 | outputscale: 1.629 | noise: 0.100
Iter 1860 | Loss: -1293.562 | lengthscale: 1.165 | outputscale: 1.660 | noise: 0.100
Iter 1870 | Loss: -1293.576 | lengthscale: 1.166 | outputscale: 1.667 | noise: 0.100
Iter 1880 | Loss: -1293.570 | lengthscale: 1.163 | outputscale: 1.648 | noise: 0.100
Iter 1890 | Loss: -1293.623 | lengthscale: 1.162 | outputscale: 1.649 | noise: 0.100
Iter 1900 | Loss: -1293.504 | lengthscale: 1.160 | outputscale: 1.643 | noise: 0.100
Iter 1910 | Loss: -1293.587 | lengthscale: 1.161 | outputscale: 1.647 | noise: 0.100
Iter 1920 | Loss: -1293.645 | lengthscale: 1.163 | outputscale: 1.651 | noise: 0.100
Iter 1930 | Loss: -1293.530 | lengthscale: 1.162 | outputscale: 1.650 | noise: 0.100
Iter 1940 | Loss: -1293.567 | lengthscale: 1.161 | outputscale: 1.642 | noise: 0.100
Iter 1950 | Loss: -1293.597 | lengthscale: 1.160 | outputscale: 1.640 | noise: 0.100
Iter 1960 | Loss: -1293.584 | lengthscale: 1.165 | outputscale: 1.662 | noise: 0.100
Iter 1970 | Loss: -1293.545 | lengthscale: 1.166 | outputscale: 1.667 | noise: 0.100
Iter 1980 | Loss: -1293.630 | lengthscale: 1.164 | outputscale: 1.652 | noise: 0.100
Iter 1990 | Loss: -1293.517 | lengthscale: 1.162 | outputscale: 1.653 | noise: 0.100
Iter 2000 | Loss: -1293.599 | lengthscale: 1.163 | outputscale: 1.653 | noise: 0.100
Iter 2010 | Loss: -1293.531 | lengthscale: 1.163 | outputscale: 1.654 | noise: 0.100
Iter 2020 | Loss: -1293.570 | lengthscale: 1.164 | outputscale: 1.659 | noise: 0.100
Iter 2030 | Loss: -1293.526 | lengthscale: 1.168 | outputscale: 1.672 | noise: 0.100
Iter 2040 | Loss: -1293.609 | lengthscale: 1.167 | outputscale: 1.667 | noise: 0.100
Iter 2050 | Loss: -1293.561 | lengthscale: 1.163 | outputscale: 1.663 | noise: 0.100
Iter 2060 | Loss: -1293.600 | lengthscale: 1.163 | outputscale: 1.650 | noise: 0.100
Iter 2070 | Loss: -1293.599 | lengthscale: 1.168 | outputscale: 1.667 | noise: 0.100
Iter 2080 | Loss: -1293.566 | lengthscale: 1.164 | outputscale: 1.665 | noise: 0.100
Iter 2090 | Loss: -1293.611 | lengthscale: 1.165 | outputscale: 1.660 | noise: 0.100
Iter 2100 | Loss: -1293.578 | lengthscale: 1.169 | outputscale: 1.673 | noise: 0.100
Iter 2110 | Loss: -1293.569 | lengthscale: 1.166 | outputscale: 1.668 | noise: 0.100
Iter 2120 | Loss: -1293.555 | lengthscale: 1.160 | outputscale: 1.643 | noise: 0.100
Iter 2130 | Loss: -1293.574 | lengthscale: 1.164 | outputscale: 1.654 | noise: 0.100
Iter 2140 | Loss: -1293.558 | lengthscale: 1.164 | outputscale: 1.660 | noise: 0.100
Iter 2150 | Loss: -1293.589 | lengthscale: 1.158 | outputscale: 1.630 | noise: 0.100
Iter 2160 | Loss: -1293.582 | lengthscale: 1.165 | outputscale: 1.657 | noise: 0.100
Iter 2170 | Loss: -1293.609 | lengthscale: 1.170 | outputscale: 1.678 | noise: 0.100
Iter 2180 | Loss: -1293.562 | lengthscale: 1.157 | outputscale: 1.641 | noise: 0.100
Iter 2190 | Loss: -1293.581 | lengthscale: 1.159 | outputscale: 1.625 | noise: 0.100
Iter 2200 | Loss: -1293.595 | lengthscale: 1.161 | outputscale: 1.644 | noise: 0.100
Iter 2210 | Loss: -1293.593 | lengthscale: 1.162 | outputscale: 1.647 | noise: 0.100
Iter 2220 | Loss: -1293.578 | lengthscale: 1.161 | outputscale: 1.652 | noise: 0.100
Iter 2230 | Loss: -1293.610 | lengthscale: 1.163 | outputscale: 1.658 | noise: 0.100
Iter 2240 | Loss: -1293.507 | lengthscale: 1.170 | outputscale: 1.677 | noise: 0.100
Iter 2250 | Loss: -1293.653 | lengthscale: 1.164 | outputscale: 1.665 | noise: 0.100
Iter 2260 | Loss: -1293.557 | lengthscale: 1.161 | outputscale: 1.645 | noise: 0.100
Iter 2270 | Loss: -1293.567 | lengthscale: 1.160 | outputscale: 1.647 | noise: 0.100
Iter 2280 | Loss: -1293.569 | lengthscale: 1.163 | outputscale: 1.651 | noise: 0.100
Iter 2290 | Loss: -1293.545 | lengthscale: 1.158 | outputscale: 1.631 | noise: 0.100
Iter 2300 | Loss: -1293.627 | lengthscale: 1.165 | outputscale: 1.658 | noise: 0.100
Iter 2310 | Loss: -1293.515 | lengthscale: 1.172 | outputscale: 1.694 | noise: 0.100
Iter 2320 | Loss: -1293.610 | lengthscale: 1.168 | outputscale: 1.680 | noise: 0.100
Iter 2330 | Loss: -1293.605 | lengthscale: 1.164 | outputscale: 1.657 | noise: 0.100
Iter 2340 | Loss: -1293.557 | lengthscale: 1.164 | outputscale: 1.652 | noise: 0.100
Iter 2350 | Loss: -1293.573 | lengthscale: 1.163 | outputscale: 1.667 | noise: 0.100
Iter 2360 | Loss: -1293.522 | lengthscale: 1.164 | outputscale: 1.652 | noise: 0.100
Iter 2370 | Loss: -1293.544 | lengthscale: 1.158 | outputscale: 1.627 | noise: 0.100
Iter 2380 | Loss: -1293.562 | lengthscale: 1.163 | outputscale: 1.652 | noise: 0.100
Iter 2390 | Loss: -1293.550 | lengthscale: 1.169 | outputscale: 1.675 | noise: 0.100
Iter 2400 | Loss: -1293.567 | lengthscale: 1.165 | outputscale: 1.652 | noise: 0.100
Iter 2410 | Loss: -1293.553 | lengthscale: 1.159 | outputscale: 1.634 | noise: 0.100
Iter 2420 | Loss: -1293.599 | lengthscale: 1.161 | outputscale: 1.651 | noise: 0.100
Iter 2430 | Loss: -1293.592 | lengthscale: 1.168 | outputscale: 1.676 | noise: 0.100
Iter 2440 | Loss: -1293.511 | lengthscale: 1.170 | outputscale: 1.687 | noise: 0.100
Iter 2450 | Loss: -1293.581 | lengthscale: 1.167 | outputscale: 1.661 | noise: 0.100
Iter 2460 | Loss: -1293.524 | lengthscale: 1.164 | outputscale: 1.661 | noise: 0.100
Iter 2470 | Loss: -1293.587 | lengthscale: 1.166 | outputscale: 1.669 | noise: 0.100
Iter 2480 | Loss: -1293.614 | lengthscale: 1.161 | outputscale: 1.645 | noise: 0.100
Iter 2490 | Loss: -1293.570 | lengthscale: 1.162 | outputscale: 1.646 | noise: 0.100
Iter 2499 | Loss: -1293.575 | lengthscale: 1.163 | outputscale: 1.659 | noise: 0.100
